user_id,age_group,income_bracket,time_on_social_media_min,time_on_streaming_video_min,time_on_podcasts_min,monthly_conversions,customer_since_date,avg_monthly_spend,last_seen_days_ago,support_tickets_raised,churned_in_last_90_days
1000,35-44,Low,146,11,172,4,2024-11-03 12:01:45,64.7,83,4,False
1001,55+,High,61,170,135,4,2022-11-15 07:39:20,81.27,84,0,False
1002,45-54,Low,13,244,167,7,2024-05-02 04:58:56,39.7,38,0,False
1003,55+,High,224,280,91,3,2023-08-29 01:20:06,86.38,112,4,True
1004,45-54,Medium,131,74,145,0,2022-06-04 09:11:38,52.07,27,1,False
1005,45-54,High,221,305,135,10,2023-08-30 15:45:13,85.62,108,0,True
1006,18-24,Medium,96,214,142,6,2022-08-07 02:56:56,28.56,59,0,False
1007,25-34,Low,45,160,18,6,2025-04-16 17:40:04,43.2,51,1,False
1008,45-54,Medium,157,292,154,8,2023-09-01 02:39:41,33.67,105,0,True
1009,35-44,Low,94,270,172,1,2025-01-11 05:27:52,85.54,111,0,True
1010,18-24,Low,211,150,13,9,2025-02-19 03:50:55,60.07,113,0,True
1011,45-54,High,219,45,195,2,2022-01-03 13:38:22,106.79,17,0,False
1012,55+,Medium,226,225,142,6,2025-04-30 20:50:05,38.45,118,2,True
1013,18-24,Low,252,9,48,9,2022-11-19 14:52:07,35.03,15,0,False
1014,18-24,Low,136,241,1,4,2021-08-08 06:59:32,17.91,75,0,False
1015,45-54,Medium,128,59,129,3,2024-11-01 13:14:52,25.27,64,0,False
1016,35-44,Medium,183,81,213,4,2023-02-22 21:47:31,65.98,103,3,True
1017,35-44,Low,87,212,166,2,2022-01-04 11:38:58,90.22,52,1,False
1018,35-44,Medium,25,271,165,0,2023-05-16 20:52:56,72.47,18,0,False
1019,35-44,High,121,171,96,7,2021-09-03 19:30:13,146.32,47,2,False
1020,25-34,High,244,210,114,4,2024-07-24 07:23:05,101.47,85,2,False
1021,35-44,Medium,34,296,161,4,2024-08-16 01:43:00,94.02,62,1,False
1022,25-34,Medium,240,68,137,3,2023-11-18 14:33:02,32.84,69,0,False
1023,35-44,High,20,47,169,8,2024-10-30 14:16:01,130.44,1,0,False
1024,25-34,High,201,266,88,6,2024-11-20 18:07:06,112.13,44,1,False
1025,35-44,Low,143,250,177,8,2024-02-10 12:19:51,78.94,103,0,True
1026,18-24,Low,73,19,126,2,2024-10-19 22:17:56,50.9,49,4,False
1027,18-24,Low,164,219,37,6,2022-02-01 21:13:04,34.97,1,0,False
1028,35-44,High,146,206,168,3,2023-06-10 14:57:47,134.41,99,0,False
1029,55+,Low,107,24,124,8,2021-07-19 14:08:36,27.29,41,3,False
1030,25-34,High,49,252,62,8,2024-12-28 13:02:17,127.99,71,3,False
1031,45-54,High,238,190,48,11,2023-12-16 05:47:36,130.86,16,0,False
1032,35-44,Medium,69,110,166,6,2024-07-24 03:34:00,108.48,89,0,False
1033,25-34,Low,200,255,123,5,2022-08-10 09:51:58,17.93,86,0,False
1034,35-44,Medium,73,130,211,2,2024-06-30 19:51:43,59.84,72,0,False
1035,18-24,Medium,91,88,21,5,2021-09-07 01:06:08,57.53,13,0,False
1036,55+,Medium,146,264,127,7,2022-09-10 04:00:56,10.0,17,0,False
1037,35-44,Low,228,104,92,6,2022-04-04 01:51:20,97.44,39,4,False
1038,25-34,Medium,61,123,152,4,2021-07-08 10:10:24,92.02,49,0,False
1039,25-34,High,122,184,146,4,2022-02-28 13:50:17,100.79,89,4,False
1040,45-54,Medium,187,184,55,6,2021-12-21 22:04:36,38.68,21,0,False
1041,35-44,Medium,102,178,206,4,2022-01-11 17:58:22,95.42,13,0,False
1042,45-54,Medium,184,283,97,3,2021-08-01 21:57:50,46.05,64,0,False
1043,18-24,High,218,100,27,4,2024-04-08 16:04:54,97.65,47,4,False
1044,25-34,Medium,95,40,49,2,2023-12-06 23:31:43,69.69,23,1,False
1045,35-44,Medium,102,23,163,6,2021-08-11 02:18:22,49.03,7,2,False
1046,55+,Medium,97,241,173,1,2024-02-19 13:15:38,49.93,40,1,False
1047,18-24,High,39,77,120,9,2021-11-16 05:53:47,109.58,3,0,False
1048,18-24,Low,217,34,172,0,2023-01-07 19:57:52,10.0,102,2,True
1049,25-34,Medium,192,30,175,8,2023-10-15 07:34:43,10.0,37,1,False
1050,25-34,Medium,248,194,60,3,2022-12-24 01:38:39,10.0,1,1,False
1051,25-34,High,84,229,19,1,2024-12-09 09:22:00,82.93,50,2,False
1052,55+,Medium,95,222,161,1,2022-08-02 20:49:15,20.81,32,0,False
1053,45-54,High,205,247,40,4,2023-11-08 11:28:38,58.89,90,4,False
1054,35-44,High,188,50,96,2,2024-10-06 18:43:29,122.37,87,1,False
1055,45-54,High,215,71,164,3,2024-11-27 02:44:15,122.27,76,0,False
1056,55+,Low,42,118,61,4,2024-12-09 15:23:27,38.65,39,0,False
1057,18-24,Medium,87,26,43,6,2023-09-02 12:57:41,39.32,89,1,False
1058,45-54,High,155,291,45,3,2022-03-01 15:25:20,99.69,120,0,True
1059,25-34,High,92,140,50,5,2025-03-16 00:23:01,84.16,14,1,False
1060,45-54,Medium,134,131,216,5,2022-09-16 19:55:56,32.72,72,2,False
1061,25-34,High,85,65,156,8,2023-11-13 11:25:07,97.77,105,1,True
1062,35-44,Low,205,276,73,1,2024-12-09 19:37:40,84.61,49,4,False
1063,25-34,High,168,223,141,1,2024-01-26 10:36:29,86.04,5,0,False
1064,35-44,Low,112,125,187,7,2024-05-09 03:08:27,100.82,100,0,False
1065,35-44,Medium,126,140,142,7,2022-07-02 05:00:47,79.19,9,0,False
1066,18-24,Medium,55,87,141,6,2022-05-06 16:03:27,58.42,81,0,False
1067,35-44,Medium,227,235,166,4,2021-07-10 08:25:48,103.68,70,0,False
1068,55+,High,144,159,58,0,2023-02-11 03:45:21,72.14,36,1,False
1069,55+,High,100,68,144,6,2024-02-05 10:00:23,102.06,29,0,False
1070,55+,Low,127,152,89,1,2022-02-06 15:26:57,32.43,8,2,False
1071,55+,Low,82,25,84,5,2022-04-08 13:13:55,48.33,88,1,False
1072,18-24,Medium,230,31,33,5,2022-10-20 04:57:53,33.28,11,0,False
1073,25-34,High,60,41,20,9,2022-10-14 16:06:05,110.84,71,1,False
1074,35-44,Low,115,80,214,5,2023-12-27 01:58:56,52.36,35,2,False
1075,55+,High,129,156,56,9,2022-02-18 16:56:38,83.6,13,0,False
1076,18-24,Medium,51,228,175,4,2023-01-23 07:02:38,10.0,69,0,False
1077,25-34,Low,173,241,64,3,2022-09-08 08:41:04,46.95,25,3,False
1078,25-34,Medium,235,241,133,2,2022-12-14 09:21:49,42.11,95,4,True
1079,45-54,Low,140,38,214,5,2022-09-15 03:31:25,60.79,110,0,True
1080,45-54,Medium,124,199,77,3,2023-12-11 12:22:07,10.0,13,1,False
1081,55+,Medium,183,108,138,2,2021-09-30 08:06:00,24.1,5,1,False
1082,18-24,Medium,32,85,25,2,2023-12-21 08:35:58,37.5,52,0,False
1083,35-44,High,165,112,130,2,2023-01-03 11:29:25,106.76,106,0,True
1084,18-24,Medium,92,256,53,4,2023-03-28 06:13:47,33.8,83,1,False
1085,45-54,Medium,142,93,95,3,2023-04-11 20:10:40,43.68,98,1,False
1086,55+,Low,42,10,39,5,2022-08-10 20:14:18,42.29,113,0,True
1087,35-44,Medium,14,186,108,11,2022-09-15 01:03:56,83.18,30,0,False
1088,55+,High,20,110,8,8,2022-11-24 17:49:01,93.88,27,0,False
1089,18-24,Low,98,124,156,3,2023-06-17 01:39:53,45.49,72,0,False
1090,25-34,Low,145,56,179,7,2023-10-17 05:17:04,22.1,22,0,False
1091,35-44,High,62,246,80,8,2021-12-09 09:26:45,89.64,22,2,False
1092,45-54,Medium,179,299,80,5,2023-12-19 07:21:29,33.52,44,0,False
1093,25-34,High,154,67,140,9,2023-06-23 01:33:09,75.85,102,0,True
1094,35-44,Medium,192,95,162,4,2024-01-14 22:42:04,100.36,120,4,True
1095,45-54,Low,210,163,66,5,2022-01-08 16:30:23,62.54,25,0,False
1096,25-34,High,182,115,90,7,2023-04-12 02:25:55,128.85,73,2,False
1097,18-24,Low,43,125,87,11,2024-07-04 15:28:13,68.15,39,0,False
1098,45-54,Low,171,199,124,1,2023-04-26 19:17:57,41.92,65,1,False
1099,25-34,Low,66,220,51,0,2024-12-20 06:24:42,52.47,89,1,False
1100,18-24,Low,239,286,100,5,2024-06-21 12:13:00,36.91,105,0,True
1101,55+,Low,237,87,78,9,2022-09-25 12:22:59,53.37,67,4,False
1102,35-44,High,132,325,144,2,2023-04-06 00:11:24,124.71,71,0,False
1103,25-34,Medium,104,32,72,2,2022-01-18 08:17:28,10.0,49,0,False
1104,25-34,Medium,71,288,101,6,2023-12-29 05:09:21,51.04,43,3,False
1105,35-44,Low,13,286,54,0,2023-12-29 12:32:03,96.03,12,0,False
1106,35-44,High,212,286,150,7,2023-12-31 22:32:01,139.79,35,0,False
1107,18-24,Medium,47,225,106,0,2022-04-23 23:30:09,10.0,118,0,True
1108,55+,High,177,265,59,3,2023-11-21 18:57:58,83.53,106,0,True
1109,35-44,Low,95,241,70,2,2023-09-11 21:13:14,97.78,112,2,True
1110,25-34,Low,246,232,56,5,2022-04-23 20:46:06,35.7,64,1,False
1111,45-54,High,118,134,119,6,2022-12-05 01:44:19,95.85,15,0,False
1112,45-54,Low,229,106,171,0,2021-12-19 16:05:46,33.22,116,0,True
1113,18-24,Medium,107,241,92,7,2023-08-06 07:59:08,10.0,79,0,False
1114,45-54,High,24,310,53,4,2023-06-09 07:25:39,98.87,13,0,False
1115,25-34,High,102,293,121,2,2025-05-26 16:03:47,109.37,112,0,True
1116,25-34,High,179,175,42,4,2024-11-09 08:45:19,78.58,71,2,False
1117,18-24,High,142,275,115,7,2024-02-02 20:18:18,111.57,1,0,False
1118,35-44,Medium,236,23,133,4,2025-06-21 12:32:39,82.8,66,0,False
1119,45-54,Low,70,76,102,6,2024-02-01 08:16:07,31.74,116,0,True
1120,25-34,Low,46,101,80,5,2024-07-13 16:45:59,27.44,21,0,False
1121,55+,High,52,40,6,4,2022-08-01 16:34:33,45.33,68,3,False
1122,55+,Medium,78,238,103,8,2024-12-27 07:09:25,44.56,1,0,False
1123,45-54,High,87,174,112,4,2023-08-11 05:41:15,97.39,64,1,False
1124,18-24,High,215,181,94,2,2024-02-03 15:30:52,94.93,53,0,False
1125,18-24,Medium,46,6,121,5,2022-10-18 17:42:43,30.44,97,1,False
1126,35-44,Low,237,171,155,4,2022-02-08 06:54:12,113.42,112,2,True
1127,25-34,Low,223,46,165,10,2023-09-09 11:07:52,56.25,11,0,False
1128,45-54,Medium,23,299,218,3,2022-09-15 13:29:21,10.0,111,3,True
1129,35-44,Medium,229,256,114,4,2022-01-10 14:25:45,71.67,25,1,False
1130,25-34,Low,201,240,47,0,2025-05-19 06:54:57,29.6,58,0,False
1131,35-44,High,87,73,102,8,2021-11-11 05:10:42,105.25,13,1,False
1132,25-34,Medium,199,61,17,12,2021-10-25 08:34:02,68.4,21,0,False
1133,25-34,Low,162,53,82,6,2023-04-17 15:39:24,21.08,15,1,False
1134,55+,Medium,206,26,149,0,2025-05-19 01:17:31,10.78,79,1,False
1135,25-34,Medium,176,156,148,0,2022-10-05 16:58:31,55.55,84,0,False
1136,18-24,Low,200,292,24,6,2024-11-24 13:40:32,10.0,6,0,False
1137,35-44,Medium,160,77,139,5,2022-05-16 13:18:48,54.49,119,0,True
1138,25-34,Medium,175,272,48,5,2025-02-26 17:42:17,50.57,78,4,False
1139,55+,Medium,15,250,5,5,2023-03-14 23:28:09,52.26,18,3,False
1140,18-24,Low,153,75,129,1,2025-06-08 01:36:30,59.04,93,1,False
1141,45-54,High,82,252,138,3,2022-05-24 20:05:19,81.12,67,0,False
1142,25-34,Medium,235,267,63,5,2023-08-03 11:46:40,55.44,116,0,True
1143,45-54,Low,200,116,96,3,2022-11-05 06:32:31,33.99,38,0,False
1144,45-54,Low,122,230,124,2,2023-06-09 08:30:15,62.59,18,3,False
1145,35-44,High,173,327,166,4,2023-01-17 02:30:02,117.43,27,0,False
1146,35-44,High,85,140,213,3,2023-05-03 21:09:20,150.75,72,0,False
1147,45-54,Medium,221,233,140,4,2022-08-31 05:04:25,53.5,113,1,True
1148,35-44,Medium,194,283,72,1,2021-11-27 08:37:14,41.88,72,1,False
1149,55+,Medium,120,114,29,9,2022-03-10 20:39:10,35.22,117,0,True
1150,45-54,Medium,136,189,46,8,2024-02-16 06:22:55,54.33,120,0,True
1151,25-34,Medium,187,140,49,8,2025-04-16 09:09:06,28.54,32,1,False
1152,18-24,Low,223,202,153,5,2025-05-09 06:59:15,58.73,86,0,False
1153,45-54,High,58,112,123,4,2022-10-03 07:11:51,84.87,76,0,False
1154,45-54,Low,193,285,168,6,2023-02-23 14:52:08,53.98,59,3,False
1155,45-54,Low,212,220,215,3,2024-03-12 16:58:37,37.75,67,0,False
1156,35-44,High,141,238,219,8,2023-09-24 21:41:05,117.67,11,0,False
1157,45-54,Low,161,156,82,7,2024-06-06 19:20:47,35.14,69,0,False
1158,25-34,Medium,227,39,82,4,2022-09-22 17:58:26,13.71,45,3,False
1159,25-34,Low,251,193,172,7,2022-01-30 04:50:00,33.01,52,0,False
1160,25-34,Low,218,33,13,0,2022-12-07 11:43:17,17.16,109,0,True
1161,35-44,Low,27,151,216,1,2025-02-20 21:07:04,76.59,65,0,False
1162,25-34,Low,175,228,62,3,2024-07-11 00:25:41,52.87,112,0,True
1163,35-44,High,119,290,142,2,2023-06-05 20:46:25,107.76,111,2,True
1164,35-44,Low,93,266,101,11,2021-11-12 22:56:00,52.65,15,0,False
1165,45-54,Low,142,124,156,2,2023-08-02 02:40:58,14.5,90,2,False
1166,35-44,Medium,122,170,140,1,2024-08-30 22:42:44,55.5,90,4,False
1167,55+,High,61,128,56,2,2025-02-12 05:49:28,96.72,120,2,True
1168,18-24,High,44,79,179,4,2023-12-23 19:06:38,86.29,107,2,True
1169,25-34,High,166,255,21,8,2022-03-13 12:53:25,91.18,51,0,False
1170,45-54,Medium,111,86,167,0,2022-06-02 17:28:21,10.0,104,0,True
1171,35-44,Medium,138,93,62,3,2025-04-09 10:30:29,68.38,29,0,False
1172,25-34,Low,186,240,9,4,2023-11-13 02:49:29,46.11,32,1,False
