user_id,age_group,income_bracket,time_on_social_media_min,time_on_streaming_video_min,time_on_podcasts_min,monthly_conversions,customer_since_date,avg_monthly_spend,last_seen_days_ago,support_tickets_raised,churned_in_last_90_days,partner_purchase_categories,traveler_type,household_size,education_level,homeowner_status,offline_purchase_intent
1000,25-34,Low,122,226,2,7,2025-06-18 07:12:44,23.82,14,0,False,"Fitness, Apparel",Unknown,5,Masters Degree,Rent,Planning Vacation
1001,35-44,Medium,191,184,72,4,2024-04-15 15:34:27,78.42,111,3,True,Apparel,Business,3,Bachelors Degree,Own,None
1002,55+,Low,60,51,3,6,2023-09-30 14:28:15,70.02,47,0,False,Apparel,Unknown,5,High School,Own,None
1003,55+,Medium,24,208,177,2,2022-12-14 23:57:07,37.13,22,1,False,Apparel,Unknown,1,Masters Degree,Rent,Seeking Insurance
1004,45-54,Medium,117,86,122,6,2023-10-14 01:55:56,17.12,78,0,False,Apparel,Business,5,Bachelors Degree,Own,None
1005,25-34,Low,207,136,9,5,2022-11-20 08:38:02,11.4,62,0,False,"Books, Groceries",Backpacker,3,High School,Rent,In-Market for Home
1006,55+,Low,183,212,84,0,2024-07-24 14:44:56,37.37,96,4,True,Books,Backpacker,3,High School,Rent,Planning Vacation
1007,35-44,Low,100,239,209,5,2022-10-26 03:13:45,90.53,63,0,False,Electronics,Business,2,Bachelors Degree,Rent,None
1008,45-54,Medium,205,121,127,6,2023-05-11 12:04:18,26.51,66,0,False,"Fitness, Apparel",Backpacker,5,High School,Own,None
1009,18-24,High,105,322,122,6,2021-10-26 09:55:18,145.99,2,0,False,Fitness,Unknown,4,Masters Degree,Own,In-Market for Car
1010,35-44,Medium,51,175,101,6,2022-08-25 20:04:52,102.7,91,1,False,Apparel,Unknown,3,PhD,Rent,None
1011,45-54,High,170,198,110,9,2023-02-11 23:55:42,62.25,24,0,False,"Books, Fitness",Family,4,High School,Own,In-Market for Home
1012,25-34,High,44,162,179,1,2021-08-26 15:22:35,114.09,72,0,False,"Electronics, Groceries",Family,4,Bachelors Degree,Rent,None
1013,35-44,Low,22,226,214,8,2024-02-11 13:19:36,31.67,94,1,False,Groceries,Solo,1,High School,Own,Planning Vacation
1014,18-24,High,246,43,34,5,2025-05-04 04:19:10,81.55,96,0,False,"Apparel, Electronics",Unknown,2,High School,Rent,None
1015,25-34,High,250,267,50,4,2024-01-27 09:50:19,102.6,33,2,False,"Apparel, Groceries",Leisure,2,Masters Degree,Rent,None
1016,55+,High,103,52,180,5,2022-05-24 14:12:46,103.15,97,0,False,Books,Solo,5,PhD,Own,In-Market for Home
1017,25-34,Low,50,268,8,7,2022-08-22 18:02:24,63.25,100,4,True,"Home Goods, Books",Solo,5,Masters Degree,Rent,None
1018,35-44,Low,179,120,100,3,2025-05-29 22:25:41,57.88,60,2,False,"Books, Electronics",Unknown,5,Masters Degree,Rent,None
1019,25-34,High,210,273,130,8,2025-02-11 19:03:06,48.69,39,1,False,Home Goods,Leisure,4,PhD,Own,None
1020,35-44,High,124,222,202,6,2022-12-06 23:46:50,144.59,43,1,False,Books,Family,3,Bachelors Degree,Rent,None
1021,35-44,Low,30,80,162,4,2021-09-11 10:19:48,74.64,87,0,False,Electronics,Unknown,4,Masters Degree,Own,None
1022,45-54,Medium,54,252,137,3,2024-01-15 08:00:38,43.91,11,0,False,Books,Solo,3,Bachelors Degree,Own,None
1023,45-54,Low,167,250,130,5,2023-04-07 20:01:43,10.0,104,3,True,Books,Unknown,3,High School,Own,Planning Vacation
1024,55+,Medium,157,146,158,5,2022-05-14 19:49:27,34.64,58,4,False,"Home Goods, Books",Leisure,5,Bachelors Degree,Rent,None
1025,55+,Medium,94,8,29,5,2023-11-08 22:40:20,52.06,41,1,False,"Electronics, Books",Leisure,1,Bachelors Degree,Own,In-Market for Car
1026,25-34,Medium,99,126,14,1,2022-04-02 06:23:42,16.81,113,0,True,"Groceries, Books",Unknown,3,Masters Degree,Own,None
1027,25-34,Medium,184,106,47,4,2021-12-27 05:33:02,16.35,119,0,True,Groceries,Leisure,1,PhD,Rent,None
1028,45-54,Medium,222,143,121,1,2021-12-15 13:06:49,56.9,32,1,False,"Books, Groceries",Unknown,4,High School,Own,None
1029,55+,High,211,145,36,7,2024-08-04 09:32:36,85.84,51,2,False,Electronics,Family,1,Bachelors Degree,Own,None
1030,45-54,Medium,95,192,198,4,2025-02-07 06:55:44,43.99,32,0,False,Home Goods,Business,1,High School,Rent,Planning Vacation
1031,25-34,High,76,104,176,4,2022-06-29 03:45:52,61.47,17,0,False,Fitness,Solo,3,PhD,Rent,None
1032,55+,Low,121,250,87,2,2022-03-03 00:51:28,51.08,111,0,True,Books,Unknown,5,Masters Degree,Rent,None
